reviews,recommendation,location
Apt and quick diagnosis with readdily available record of past visits is a positive aspect for patient doctor confidence building.  Prescription of medicines is in tune with latest medicines in the market... Very satisfied. ,I recommend the doctor,Delhi
"I reached doctor for fever, vomiting, cough n cold. He gave 7 injections for the same. There is no bed facility in his clinic and yet he took immoderate nursing bill and bed charges(Rs 300 for each). He charged Rs 2237 for the above condition. I am highly infuriated with the charges. He hoaxs the patients and takes inordinate amount of money for just fever and cold. Not just me, he gave 2-3 injections to almost all the patients* * **** ****** ***** ********* *** ** ******** **** *** ******** ***** **** ****** ******",I do not recommend the doctor,Delhi
"Very good, satisfactory detailed explanation and appropriate medicine prescription. No or little wait time. ",I recommend the doctor,Delhi
"Everything  was great except Costing. You can also provide treatment at justifying  cost.  I was unhappy beacuse I have seen more doctors who frequently use injections, Lab Test (via own contractor), Unnecessary  Vitamin dose just to increase  their  own earning.  I was 90% satisfied but somewhere 10% doubt because I don't respect those kind of service provider who plays smart just for few bucks. Anyways, end of the day patient is feeling good now a days and the reason for this  kinda review is I am also attached with this profession.Thanks  for asking my feedback.",I recommend the doctor,Delhi
It was really a good experience. I went there for consultation of my mom. Doctor treated her so well.,I recommend the doctor,Delhi
"Dr Amarpreet is simply Awesome!!!Just meeting him cures the illness.  I strongly recommend him for any problem in the body. His way of treating the patient is not just medicinal, rather he asks questions which have psychological therapeutic impact immediately.",I recommend the doctor,Delhi
Doctor is completely into helpful and he understands the problem and then briefs the complete treatment.so this is the place you want to go when you have issues related to BP ,I recommend the doctor,Delhi
Dr. Amarjeet checked my wife who suffering typhoid fever and start treatment my wife feel relaxe after two hour now treatment continues. I m very happy. ,I recommend the doctor,Delhi
I went to this doctor with my grand mother as she had high blood pressure. Dr. Aman prescribed some medicines *** ***** ****** *** ***** **** *** ***** I will not recommend this doctor to anyone. ,I do not recommend the doctor,Delhi
I went to the doctor for second opinion for treatment of anemia.i am very happy the way doctor explain  me about  my problems and medicine which  he prescribed me.Doctor is very friendly  and gives you enough time.he explain me about  the diet.and most important he keeps the record of the treatment. Am hoping I will recover very soon.staff is also well trained.i wish doctor all the best and keep helping the confuse patient..thanks a lot ,I recommend the doctor,Delhi
"I came across this clinic and doctor through Practo only & very happy with my decision to visit this doctor. Before visiting the doctor I took some antibiotics on my own for 4 days but to no relief at all with Dr Riar's one dose only I had major relief, he nailed it and got me on foot on 1 day. Make no mistake it wasn't normal fever and cold, the holistic medication included antibiotics and to flush it out and regain optimum health conditions he added probiotics & multivitamin. Thank you Dr Riar",I recommend the doctor,Delhi
I have been visiting Dr. Amanpreet for sometime now and really like how he explains and treat his patients. I have seen improvement with his medications and really appreciate him being available after consultation to answer any follow-up questions or make adjustments to treatment (if required).,I recommend the doctor,Delhi
Felt very comfortable while sharing my medical problem. His friendly nature made me comfortable to explain my problem briefly. He explained me the reason and steps of treatment in a very understanding way.  Thanks Dr. Aman,I recommend the doctor,Delhi
Very friendly and professional. Understands the problem of patient and give proper time to each individual patient,I recommend the doctor,Delhi
I have been consulting with Dr. Aman from past 2 years..  I find him very knowledgeable and experienced with genuine friendliness and concern for the patient. Highly professional ..now most of family members also go to him.  The clinic is impeccably clean and the staff is also professional. Highly recommend him,I recommend the doctor,Delhi
"my mother Vimla Devi diagnosed with swine flu, due to early diagnosis of swine flu by Dr. amanpreet and given excellent treatment, now my mother's condition is very good.. thanks a lot Dr. amanpreet... ",I recommend the doctor,Delhi
everything is  good.The way of explaining about health issues and his friendliness would attract any patients without any doubt.,I recommend the doctor,Delhi
Dr asked me about my problem i face last 7 day vary badAfter talking Consultation from him feel good,I recommend the doctor,Delhi
,I recommend the doctor,Delhi
He is very polite and of friendly nature.  He explains us the problems by giving examples. ** ** *** **** ******* ,I recommend the doctor,Delhi
"Nice reception,Quick diagnosis processUse of technology by the doctor to prepare prescription and save valuable time,",I recommend the doctor,Delhi
"Friendly, good listener, most experienced. Our issues is very normal and Dr said no worry. I specially thanks for motivation. ",I recommend the doctor,Delhi
He is a very nice person.very good doctor.behavier is too good politely.i have also recamdastion all my relatives,I recommend the doctor,Delhi
Dr. Amarpreet Singh rair are a good doctor. we are a not a using a abuse n good behaveior. we are a good experience for a dressing. we are a friendly talk to me. Thank u doctor. ,I recommend the doctor,Delhi
Excellent doctor. Straight forward. Visited first time and highly impressed with the doctor. Recommended.,I recommend the doctor,Delhi
"Great doctor, hears the problem well, gives good meds and after patient care.Has a lab for tests and immunizations are available. ",I recommend the doctor,Delhi
"Dr. Amarpreet is very friendly and makes the patient very comfortable. He took a deep understanding of all the issues faced and also asked for history to get a better knowledge of the cause.The medicines prescribed after the tests worked immediately.This was almost 8 months back, and I never wrote a feedback. I saw this today and i felt a need to write about my experience as gratitude for the treatment ",I recommend the doctor,Delhi
Fully satisfied with the treatment my son felt completely healthy with having one dose of medicine thanks to Dr Amanpreet Riar for concern,I recommend the doctor,Delhi
Everything was okay except the 3 injections that were given to my mother. The lady (staff/ receptionist) who gave the injections was clearly inexperience which left 2 huge bumps on the hip and is extremely painful. The one injection given on the arm resulted in a painful clot and my mother's skin at that part turned completely blue.,I do not recommend the doctor,Delhi
Dr.amarjeet is a good doctor and his friendly nature make us confortable so we can share with our all problems with him. I visited his clinic with my wife and one and half year son. My son having cough problem and crying to much after the doctor trearmemt he felt better and slept nicely Thanks dr.amandeep ,I recommend the doctor,Delhi
"Very nice doctor, listen everything and reply properly. No extra medicine prescribed. Result satisfactory. Output satisfaction. Thanks you DoctorRegards Anshu",I recommend the doctor,Delhi
attending patient is quiet comfortable. all the things are recorded online and shared with patient. hope his treatment will soon recover my illness.,I recommend the doctor,Delhi
He is a doctor who patiently hears the problem of the patient.He psychologically treats 50% apart from prescription.Neat and clean environment.The staff is very helpful.His diagnosis speaks about his experience and qualification.,I recommend the doctor,Delhi
I have booked appointment for 10 am today and it's automatically taking 10:40am. 10am is suitable for me .,I recommend the doctor,Delhi
He listened patiently to understand complete problem and provides proper and effective solution. He explains full treatment process and helps patients to have it completely. ,I recommend the doctor,Delhi
Dr. Aman is very good and patient. He understood the problem and i must say he is very approachable even at 10pm he responds to your messages. Thank fully i got a Doctor ,I recommend the doctor,Delhi
"Very friendly , tried to understand the history of the patient and asked for symptoms before prescribing any medicines.",I recommend the doctor,Delhi
"Dr.Aman is very professional,he listen to you and suggests you the best...I like him as a person and of course as a Excellent Doctor.",I recommend the doctor,Delhi
The Doctor was quite patient while briefed him with the medical history and previous medication. He also understood the health issue properly and then prescribed medicines.,I recommend the doctor,Delhi
"Todays (8th Sep) interaction with Dr. Amarpreet Singh Riar was absolutely satisfying. Very cool in listening to us and explained all our queries sportively. His consoling words have given a Trust in our minds. Glad that we got a Family Doctor, easily approachable. Good Day. Mahadevan.",I recommend the doctor,Delhi
"Asked appropriate questions , didn't prescribe unnecessary tests nd explained the medicine properly. ",I recommend the doctor,Delhi
The doctor is very patient. He listens to his patients well and recommends the **** ****** ** treatment.,I recommend the doctor,Delhi
"A very friendly and experienced doctor with a smiling face , but seems little hurry in his attitude.",I recommend the doctor,Delhi
I m very happy n satisfied for the service provided it hardly took me 30 mins to recover just wanna say thanku,I recommend the doctor,Delhi
Doctor is very good good nature. We will recommend to everyone. Very friendly listen all your queries and give all ans ,I recommend the doctor,Delhi
Doctor Amar has been very approachable and one of the finest doctor I’ve ever consult. I’m happy and cery satisfied.,I recommend the doctor,Delhi
"I like Dr. Amarpreet because he is very gentle,soft spoken *** ********* **** ************* ***********From starting I m satisfied with his treatment. His staff also very good* * ***** ** ** ************ ** ** *** **** ***",I recommend the doctor,Delhi
"He is really a good doctor, the way he consults and treats his patients. I got Impressed, that u can get ur all records online like, your diagnose detail, ur medicine time etc. He is going forward with the Digital INDIA. He is doing well.Thanks",I recommend the doctor,Delhi
"Experience with the doctor was good, but the prescribed medicines were costly. I ended up paying Rs 1600/- for two patients, just for fever and chest congestion.Hope the medicines work.",I recommend the doctor,Delhi
"one thing which I liked most is, he listens to you patiently. regarding waiting time....if you have taken an appointment then waiting is not an issue because they allot you a fixed time .....and waiting area is good....neat and clean with good ambience",I recommend the doctor,Delhi
"He explains you everyrhing in detail. Infact understands the problem also. Recommends medicine as required. Above all, he is freindly and doesnt makes person feel as a patient!!",I recommend the doctor,Delhi
"nice experience and great satisfaction. i am not from delhi googled the best doctor in delhi (physician), his name came up with good rarings drove all the way for 15 kms. ",I recommend the doctor,Delhi
"Everything was good, *** ********** diagnosis, treatment, explaining at length, giving relevant print outs for reference, friendly nature",I recommend the doctor,Delhi
crisp to the point solution..no unesesary test and medics. understands patients view point. liked it,I recommend the doctor,Delhi
"he listens to your issues, quick diagnosis and does not leave in any sort of confusion keeping time under consideration. ",I recommend the doctor,Delhi
"I visited Dr Amarpreet for diabetes and cholesterol management.  The effect of the treatment has already started showing  and my sugar levels are well managed now. For cholesterol, I would get to know the results when I do a test in future.What I liked most about the experience is that before telling me about the tests to perform , he explained why those are required and suggested some precautionary medication as well. On the follow up visit with the test reports, he further suggested additional medications and explained the rationale behind each of those when I inquired.  Furthermore he was more than willing to answer any queries, however insignificant or important, that I had  and explained how diabetes can be managed through a combination of lifestyle changes and medication. ",I recommend the doctor,Delhi
Very Highly recommended. Doc Riar listens your problem well and explain the treatment in details. * ** *** **** ****** ** *****. Love to give 5 stars.,I recommend the doctor,Delhi
Very good doctor **** ********* *** ******* Having Clear concept and detailing for the disease and cure method .,I recommend the doctor,Delhi
Great doctor and good human being.. **** **** ********* . Very much caring and good professional ********* ,I recommend the doctor,Delhi
Very positive doctor with positive attitude. Explained all the details related to my health problems.  Very good doctor. Spl recommended for diabetes. ,I recommend the doctor,Delhi
Good doctor.. much relieved in a day ..treatment received is satisfactory. Good behaviour ..recommended..,I recommend the doctor,Delhi
"Dr. Amar is an amazing person to begim with, i visited his clinic along with my wife as she was complaining of pain and dizziness, he suggested full body checkup for her and as i was also feeling low energy he suggested the same to me. My triglycerides came high more than double the safe limit, thereafter i went on strict diet control and took medications. Lifestyle changes as suggested by him, Reduced weight by 12 kgs and eversince triglycerides came normal. Been a life changing journey thanx to Dr. AMAR. .",I recommend the doctor,Delhi
*** ********* ********** **** **** *** ********* ** I feel better now. I do not have the congestion and breathing difficulty anymore.,I recommend the doctor,Delhi
He is a great doctor who gives you enough time to explain and relieves you frm any kinda stress.wont give you extra doses which aren't required.i got fine with one dose only. Thank you for the nice time sir,I recommend the doctor,Delhi
I found Dr Amarpreet to be very receptive n polite. He could diagnose the problem and prescribed **** medicines for my wife and she got much required relief very soon. Thank you so much sir 🙏,I recommend the doctor,Delhi
"I had a muscle injury which became an abscess later. I had gone to expensive hospital for treatment and consulted end number of doctors and multiple test , including MRI, pus culture in the past yet none were able to fully diagnose my problem.  Let me cut it short.... Its been two years now the abscess area still oozes pus. I was frustrated like anything, and decided to give another try and started hunting a good doctor myself. Thats how I met this wonderful doctor Sir Amarpreet Singh R . He was confident about his treatment. * **** *** *** **** ***** *** *** ******* * **** **** I am sure now that with his guidance I will be cured. Thanks to this wonderful doctor.  I wish him all the best and happiness.",I recommend the doctor,Delhi
The doctor was extremely helpful and thorough with his diagnosis. He explained everything clearly and I am very happy to have consulted him.,I recommend the doctor,Delhi
Great and friendly doctorHe listen carefully all problems and treat in well mannersThanks and regrds,I recommend the doctor,Delhi
Was nice and patient. Heard about all health issues and gave explanation. Would recommend him to others...,I recommend the doctor,Delhi
He listened well to the problem and explanation of the health issue was satisfactory. The wait time was little longer as per appointment.,I recommend the doctor,Delhi
Great doctor i will suffering from some issues and that was resolved by dr amarpreet i think that was a great doctor and human being also,I recommend the doctor,Delhi
*** **** ****** **** **** Dont have to rethink  just visit.  Explains everything and also provide counselling. ,I recommend the doctor,Delhi
"Very friendly and satisfactory explanation .Very patient , listens to the problem effectively. Thnk u",I recommend the doctor,Delhi
He is a great doctor with precise n detailed treatments. I have so far recommended him to many patient's. ,I recommend the doctor,Delhi
The doctor has real understanding of a patient's health issue and prescribes the medicines accordingly.,I recommend the doctor,Delhi
"I am good well sir, afternoon , i am satified meet you sir, I am very happy sir    Thank'sir ",I recommend the doctor,Delhi
"I was suffering from Hemorrhoids from last 3.5months. Finally, I made a decision to consult doctor for this prolonged health issue and accidentally I came to know about online consultation of doctor. I opted this service and Dr. Amarpreet was assigned as my doctor. I explained everything to him and shared the photograph of my hemorrhoids so that he can get a better idea of my situation. He advised me to change the diet completely and told me to avoid spicy food and red meat. He also gave me some medications to increase the healing process. I have been taking medicines for 4 days and my hemorrhoids are completely gone. Now I will continue this diet for future. Thanks doctor for helping me to lead a normal life again.",I recommend the doctor,Delhi
"A good doctor, I am sure he has prescribed me the best drugs for my ailment. He although seems to be in a hurry. Apart from that, no qualms. My preference would be a doctor who takes more time in explaining the illness. :) ",I do not recommend the doctor,Delhi
Very bad experience there is no improvement in illness after unexpected money spent on it.now i have completed the course given DR but no improvement.,I do not recommend the doctor,Delhi
I have visited many times and always found him very satisfying I visited him for my mother’s check up. He explained nicely ,I recommend the doctor,Delhi
He told the everything which is related to my health.nd i fully convence with the appointment.He is good doctor in dwarka.,I recommend the doctor,Delhi
The Doctor is extremely friendly and humble and tries his best to understand the problem of his patient. This was by far the best experience I ever had with a doctor. Extremely satisfied with the consultancy. ,I recommend the doctor,Delhi
Very good experience with the dr is friendliness and treatment satisfaction. Dr nature is very good ,I recommend the doctor,Delhi
"He is very friendly and very nice person. The best part is his assurance, I was feeling very unwell and he kept on assuring don't worry I'll fix it u'll be fine. He promised to fix my issue in 2 days and I was feeling better on the second day. He correctly detected typhoid even though I had complicated symptoms and I am well now. He believe in curing the patients as soon as possible and not in an unnecessary prolonged treatment. ",I recommend the doctor,Delhi
"I am a student, And I went to see this doc, as my esonophil count was slightly out of normal range of 0-6, mine was 7.2.It's a pity that he charged me 2200 *** **** * ***** ******* *********** (add to it 800 rupees for the medicines he prescribed, grand total of 3000).Out of which 400 for appointment,Plus a vaccine worth 1600 (which I checked with 2 more docs who told me that was absolutely unnecessary) and On top of that 200 rupees just to give injection.He was also planning to give Flu vaccine worth 1000 rupees more during the next appointment for which additional follow up charge of 300 and injection charge of 200 again, but luckily my wisdom prevailed and I didn't go to him again.Also he didn't write the medical record title as 'esonophil abnormal', rather he wrote 'visited GP for injection pneumovax' ***** ** * ***.I clearly showed my blood report to him where everything was normal other than esonophil count.Even the airforce doctor condemned such a prescription.Beyond imagination * * ****** ***** *** ******** *** *****",I do not recommend the doctor,Delhi
The Good DoctorI was very pleased with my experience at Dr. Amarpreet Singh Riar clinic   five ***** ,I recommend the doctor,Delhi
Visit first time but don't feel so.doctor amarjeet is patient friendly listen thoroughly and advice nicely.i am satisfied with service.,I recommend the doctor,Delhi
Fever is fine.. But still feels weekness.. Doctor is good  give time to understand the patient problem ,I recommend the doctor,Delhi
Very inteligent/friendly/punctual doctor....explained me everything in detail.examined everything in detail,I recommend the doctor,Delhi
Dr. Aman is a Very Experienced Doctor. The way he explained me the health issue is so good and immediately he has started the treatment.,I recommend the doctor,Delhi
"Very hightec, dedicated, ************ * **** ********* and very friendly would love to recomend friends",I recommend the doctor,Delhi
Excellent Service ! I recommend people to visit Doctor Amarpreet Singh Riar for treatment. We noticed that he detect health problem very easily and Elaborate properly and give you Printout prescription. ,I recommend the doctor,Delhi
"It's over 20 days but even 1% IMPROVeMENT not observed. And when call on phone and ask the same then reply I am busy with patient, it means I am not parent who have spent nearly 8000/-. ",I do not recommend the doctor,Delhi
"Very experienced doctor. A good listener, diagnoses well. Will recommend him. A gentlemen who is actually doing justice with medical profession, and retains trust and confidence of patients.",I recommend the doctor,Delhi
"** ** ****** ** ******** *** *** am again facing the same issue. Not happy the way he handle my case, **** *** ** ******** ** ** ****** ****** *** he always charged consultant fee in every visit. ",I do not recommend the doctor,Delhi
I have good experience and benefited from the medicine prescribed by doctor. He gives time to listen their patients.,I recommend the doctor,Delhi
Many test were suggested ant at a time 2 I'm and 2 IV injunction given to patient that is not recorded in progress report.Total charge received of RS 1800 + that is very high,I do not recommend the doctor,Delhi
"It was my first time going for a check up living in Delhi for 11 years.  I was left with good impression, that I did not need to wait long, well explained of sickness and remedies, not putting fear in patients, quick and painless treatment from the staffs. Good and clean environment. Fair treatment to all. After I got home although the medicines are a bit strong for my body but quite a relief.Thank you for your service.",I recommend the doctor,Delhi
Very friendly doctor.clear understanding of the problem.He gave sufficient Time to Express and then explained the condition with further course of action in simple ways.,I recommend the doctor,Delhi
Very much patience in listening to the problem.Giving an assurance of treating the problem bymaking patient comfortable.I was having Typhoid and I was fine by 2 to 3 days.,I recommend the doctor,Delhi
"Doctor Aman prescription and diagnosis suits us all.He is a very nice person, approachable andTreats all his patients with an awesome attitude.",I recommend the doctor,Delhi
Doctor explained the condition in a very simple words and also explained how given treatment would work. Valuable advises were given on diet and healthy lifestyle.,I recommend the doctor,Delhi
"I found Dr. Amarpreet on Practo and visited after reading all the good reviews. I visited for my mother’s Sugar, Cough and Fever problems. Doctor explained the causes and medication very well. I will prefer the Dr. Amarpreet to near and dear.",I recommend the doctor,Delhi
Dovtor is frrindly most of the above ready to attend the patients anytime Helped me a lot Thank you sir....,I recommend the doctor,Delhi
I will prefer Dr Amarpreet Singh in future for myself and family. I will suggest this clinic and Dr to others also.,I recommend the doctor,Delhi
"Dr. Amarpreet Singh Riar I think your Aman Medical Clinic has come a long, long way.  You outdo yourselves. Quality care & EVERYONE cares.  Your hospital is state of the art.  I can't say enough good things about & I tell everyone about you.  Plus you have to be good, I traveled 14KM.  **** ******** ** *** **** ** ***** ****Thank you. ",I recommend the doctor,Delhi
Dr.Riar was really very friendly he listened to my problem and then asked for a test to know actually what the problem is . Let's see what happens ,I recommend the doctor,Delhi
"It was very good, my wife's condition was very bad that time, he makes me assure relief in one hour, and it's really worked, my wife and me are very thank full to Dr.",I recommend the doctor,Delhi
A very friendly Doctor...I consulted him in the month of feb this year..he diagnosed the issue **** *********** *** ** *** ***** ****** Thankyou. :),I recommend the doctor,Delhi
"Well doc was good and given very good suggestions, one thing I want give as feedback that is prescribed medicines were too costly I mean for normal fever I spent 800 Rs in medicines. This is only concern from my side, rest all good like doctor, staff, doctor fees, and accepting money via online etc....",I recommend the doctor,Delhi
Really good experience. Was suffering from metabolic syndrome. He not only provided medication but also educated regarding the disease which was quite helpful. Thanks Dr. ,I recommend the doctor,Delhi
"I experienced a well and satisfactory behavior from Dr. Amarpreet Singh Riar.A doctor should be friendly and consoling, so that he/she can calm patient first.",I recommend the doctor,Delhi
"Was Suffering from throat pain and hay fever. Consulted more than 6 ENT and general physician , nothing worked. I suffered almost 2 month then I came to know about Dr Aman. He is solid interpreter of problem. He prescribed me medicine and it just worked. He is result oriented Dr which is rarest ingredients in NCR drs. Thank you sir",I recommend the doctor,Delhi
Very good doctor. Treates patients with patients and give enough time to patients. I will definitely recommend.,I recommend the doctor,Delhi
Wonderful. Very good doctor. He takes the patient on ease and even make a follow up in a very proactive manner.,I recommend the doctor,Delhi
I had visited the doctor last year as well for dengue and he had cured me. Yesterday visited him for fever and body ache. The best part about him is that he listens very patiently and gets to the root cause of the problem.  Doctor is genuine and cares for his patients.,I recommend the doctor,Delhi
Always explains the disease well and gives effective medicines which helps in getting better easily.,I recommend the doctor,Delhi
Satisfied with doctor's prescription. As medicines is little bit costly *** ********** I don't have any other comments.                                                                                        ,I recommend the doctor,Delhi
"soft spoken,answered all queries patiently. fever also went down just after giving one potion of medicines. my child is relaxed, so are we now. ",I recommend the doctor,Delhi
He is one of the few doctors who genuinely cares and understands the patients with all his time and heart. He patiently describes the medication and also ensures the patient leaves his clinic with calmness and a believe to get well soon. I would recommend him anyday. Its a pleasure to have doctors like this who is so approachable and humble. God Bless you. ,I recommend the doctor,Delhi
I am satisfied with the treatment.I was having severe chest pain and high fever.I am feeling relax now in 1 day.,I recommend the doctor,Delhi
"Well the experience was really pathetic. Initially I visited him on 26th july. For fever. He injected three injections and out of which one has gone bad. One injection got infectious and there is swelling in my whole left butt from past 4 days. I am not able to even walk and because of infection from injection fever is also around 101from past 4days. So, I went to him to get treated for fever but in fact due to his treatment I got fever.The point is was it really so much necessary in the starting only to inject 3injections that also for a fever.",I do not recommend the doctor,Delhi
"It was good experience with him, sir ask every symptom and root cause of disease and also familiar with patient *** **** ****** ******** ** ** now i am taking these medicine and little bit filling better now",I recommend the doctor,Delhi
A good doctor **** ***** ********* Give you enough time to understand your problem and then give you solutions.Highly recommended,I recommend the doctor,Delhi
good. analysis was good and gave time. good to interact and options given were good. the promptness was good and tests samples were taken inside clinic only. that was one good thing and our re visit was saved .,I recommend the doctor,Delhi
Very good diagnosis and treatment. Feeling better after treatment . recommended for family physician,I recommend the doctor,Delhi
He is a gentleman and provides u appropriate guidance for Ur treatment. I went for pain surrounding my anal area and he provided me wat was required. I am really impressed the way he treated and spends time in explaining things to his patients. I wish him all the luck and hope he will continue doing the same thing with his patients. Thanks Dr.Amarpreet..,I recommend the doctor,Delhi
"I am lucky to get in touch with a good doctor and a great human being like him. My treatment is continue and,now I have full faith on Amarpreet sir the way I believe in my god, that soon I will be absolutely fine as he said.  I'm thankful to you sir ",I recommend the doctor,Delhi
Doctor is very good and polite. He listen the patient's issue very carefully Medicine which he recommend is very effective. I would definitely recommend doctor to others.,I recommend the doctor,Delhi
"Superb doctor. My mom was seriously ill. Body weakness, loss of appetite, vomiting feeling. The doctor was quick to diagnose the problem and within 2 days my mom is back to normal. Thank you doctor ",I recommend the doctor,Delhi
"In last three months i suffered through couple of health issues, I visited Dr Aman preet, and till now i have been treated by him and its completely fine now. Good attitude and attempt he takes for his patients which is very nice. ",I recommend the doctor,Delhi
Very patient hearing by the doctor in initial visit & follow up...attended right on time.... I am on the road to healing... will strongly recommend getting treated from Dr Amarpreet.,I recommend the doctor,Delhi
"My experience was very good, doctor is very cordial, he takes time to listen to the patient, doesn't hurry up and prescribes **** medicines available.",I recommend the doctor,Delhi
"Based on my description of the problem, he has ********** diagnosed the problem and suggested​ treatment accordingly.I really appreciate the doctor's skills.",I recommend the doctor,Delhi
"The doctor is good in diagnosis, understands the patient well.  He is very pleasant,  jolly and positive.   ",I recommend the doctor,Delhi
Nice experience in terms of attending and listening my problem. You hardly get doctors these days who listen carefully what their patients are saying.doctor was good in not wasting time only through running reports etc.. but at the same time ensured that treatment must go on and prescribed medicines.,I recommend the doctor,Delhi
"Awesome doctor; friendly in nature; i already feel that with his ******* dignositics, would br much better soon. Kudos and cheers !! Highly recommended.",I recommend the doctor,Delhi
Very helpful. Attentive and responsive doctor. I recommend his consultation for any health problems. ,I recommend the doctor,Delhi
Really a good doctor. ****** diagnosis and apt medicine. My daughter felt better after a single dose.,I recommend the doctor,Delhi
The doctor didn't write too many tests. He prescribed right tests to be done. He had apathy towards the patient.,I recommend the doctor,Delhi
Availability and follow up are good with doctor and he take minute details to consideration. Thank you.,I recommend the doctor,Delhi
Treatment is under process *** ** *** * **** ******* ** **** ****** * **** ****** ** **** I recommend this doctor for any health problem.,I recommend the doctor,Delhi
Great ... I have been under his supervision for last three years .. he treated several medical problem I encountered .i was recently transferred to kolkata and had a very bad indigestion and acidity problem ... he suggested me medicine on telephone and I recovered in a day ... great assistance always ... he is great human being and cherished freind always at your help whenever needed ,I recommend the doctor,Delhi
"Very understanding doctor, he made us comfortable, he did not load us with medicines, and understood the problem. He gave us right suggestions, highly recommend him.",I recommend the doctor,Delhi
Dr. Riar is a thorough professional **** **** ********* ** ************* ******** ** ******** *** ******* ********** He has explained me with great patience my problem and answered my queries. With his medicines l am recovering quickly *** ************ ,I recommend the doctor,Delhi
Very good experience with the Doctor. One can easily rely on him. It was a full support from his side after the consultation on practo and on call also.,I recommend the doctor,Delhi
Nice doctor...I visited 3-4 times for my father treatment... good behaviour... listening issues and giving proper justification... medicine is also good ...his diabetes started decreasing after medicine....,I recommend the doctor,Delhi
Had bad flu n cold With fever . Doctor prescribed medicines helped me overcome this easily . Recommended ,I recommend the doctor,Delhi
Went for acute renal pain . Attended immediately . Given some injections. Immediate relief .Emergency expertise of high quality . Recommended ,I recommend the doctor,Delhi
