reviews,recommendation,location
She is very friendly and co operative. Now a days it is very hard to find doctors who explain the cause amd medicines so deeply. I would recommend her. ,I recommend the doctor,Bangalore
She is excellient.....and very helpful...I recommend everyone to go in any health related issue....100% u will feel family like to solve ur problem..,I recommend the doctor,Bangalore
She is very ************* *** experience doctor. The way she treats patient is very good and we always get confident to visit her for any of our family health issue. Instead of going big hospital I always prefer to go to Dr Uma's clinic.,I recommend the doctor,Bangalore
She is very calm and listens to us.  Gives explanation for all medicine s given. Over all very good experience with doctor uma,I recommend the doctor,Bangalore
"I had visited Dr.uma for low Hemoglobin and other nutrients, necessary vitamins in the body were lower than the normal. She prescribed ********* medicines and interavenous injections which results in increase of hemoglobin to normal levels now. She explains the problem to the patient  in detail manner. I strongly recommend Dr.uma *** *** ** *****",I recommend the doctor,Bangalore
Good Treatment. Gave very clear explanation of health issue. Gave very limited medicines. Medicines were apt for curing the health issue.,I recommend the doctor,Bangalore
She handles patients with utmost care n has good attitude to explain the issue very well. Good place for both kids and adults,I recommend the doctor,Bangalore
I visited her clinic for my wife as she was suffering from fever.She is very good and explains everything like why a particular medicine is required.Avoids unnecessary medicines. ,I recommend the doctor,Bangalore
I strongly recommend Dr. Uma for kids and diabetes patient. She is very friendly and clearly explains about the problem and remedial action. ,I recommend the doctor,Bangalore
She is much friendly and also not given more medicines. I like her treatment style so much. Clinic improvement required.,I recommend the doctor,Bangalore
"I took my mom and father for diabetic treatment. When I took my mom to Dr.Uma for the first time, my mother sugar level are fasting: 640, PP: 420.Dr.UMA treatedmy mother in a very sophisticated and friendly nature and she explains very politely and step by step what went wrong and how to be corrected. Unlike other doctors she won't rush to intake Insulin, usually at that range normally doctors prescribe to go for insulin. But Dr.UMA slowly decreased with medicines.Now my mother sugar levels are fasting:220 andPP: 160. After 4 months.Thanks to Dr.UMA for such a nice treatment.",I recommend the doctor,Bangalore
Doctor is very friendly and listened to the problem and explained in detail. Thankyou very muchPrerana,I recommend the doctor,Bangalore
We recommend because she is friendly and makes child very comfortable. Availability of Doctor also positive ,I recommend the doctor,Bangalore
"The way which she treats the paitent is nice, explaining about the fever and what precautions need to take to control the fever. I really very happy.",I recommend the doctor,Bangalore
Well explained about the issues and she is well versed in medicine and also it’s side effects.Highly recommended for General Medicine and Diabetes patients.,I recommend the doctor,Bangalore
*** ** **** *********** * Explanied all the queries regarding medicine and causes very well...  im satisfied..,I recommend the doctor,Bangalore
"The doctor listen to you very patiently and carefully and prescribe antibiotics only when it's required, doctor will make sure that you don't visit again for the same disease ***** ***** ** **** ** ****** Highly recommend this doctor. ",I recommend the doctor,Bangalore
Doctor patiently listen and explanied well about diesis. Doctor will not priscribe more medicine until it necessary.,I recommend the doctor,Bangalore
"Excellent doctorVery good consultation & ************** ********, understand patient carefullyPrescription with careOverall very good family doctor",I recommend the doctor,Bangalore
Good. She does not prescribe antibiotics unless they are needed. I don't like taking medicines unnecessarily so works best for me.,I recommend the doctor,Bangalore
She gave very good advice for me.Listel my long story with patence n than advice. I like her attitude n approach.,I recommend the doctor,Bangalore
Very good doctor. Listens patiently to problems & suggests why the particular medicine needs to be used. Nice experience. Worth recommending to others. ,I recommend the doctor,Bangalore
Nicely explained about health & gave medicine. Doctor was friendly and explained each and each clearly ,I recommend the doctor,Bangalore
"Good Dr. *** ****** **** *** the way she is dealing with the sick people is appreciable.I recommend her for babies, kids and elders treatment.",I recommend the doctor,Bangalore
The doctor is really very nice and soft spoken. She will treat you well and even explain the problem clearly from which you are going through. Other than this she will also explain the medicines for 'what problem what medicine' she is prescribing and why. She won't treat you like patient just for the sake of money. *** ** **** ****** * **** **** *** ** ** ***** Very very helpful. You really do need to visit her once. I know you will like it. And you will visit again.,I recommend the doctor,Bangalore
She is good and explained correctly  bout the issue we need h type of doctors this kind of doctors are highly appreciatable.,I recommend the doctor,Bangalore
This is the first time I consulted doctor due to body itching. She carefully listened and advised for some test. She told me that once we receive the test report only will start medication. Also she didn't take consulting fee at first. I was really surprised whether these kind of private doctors are also available in this Era. ,I recommend the doctor,Bangalore
Dr. Uma is friendly and empathatic to the patients conditions. She ensures the patient understands the core problem and gives a good advice. ,I recommend the doctor,Bangalore
Very friendly doctor who is ready to listen to our problems in-spite of her busy schedule. Would highly recommend her.,I recommend the doctor,Bangalore
"Listened patiently , examined thoroughly , conversation was comforting , following the prescription.",I recommend the doctor,Bangalore
Doctor is too friendly she will explain the problem in detail properly so that we can understand exactly what is the issue,I recommend the doctor,Bangalore
Doctor is very keen in explaining the problem to me. The wait time to visit the doctor is zero as I’ve booked appointment in Practo. Very responsible service from doctor. I’m happy now that my throat infection is 100% gone. Thanks to the doctor and Practo team .,I recommend the doctor,Bangalore
Doctor is very genuine. She patiently listens and get the root cause. She explains abt every medicine she prescribed.,I recommend the doctor,Bangalore
A good doctor. ***** ** ********** Very helpful and friendly. Provides a good insight of the illness and treats with care. Have seen many patients/families preferring her over other doctors nearby.,I recommend the doctor,Bangalore
She is very friendly.. Concerned..and gives appropriate medications and explanations. I have  been to her clinic multiple times and I had good treatment every time.. Good doctor.,I recommend the doctor,Bangalore
"Very good experience, she patiently listened about the problem *** **** **** ******** ************* ",I recommend the doctor,Bangalore
Dr. Uma. M was very friendly and supportive. *** ********* *** ****** the friendliness makes the most than the medicines.. I recommend this Dr to all.,I recommend the doctor,Bangalore
*** ** *** **** ****** **** **** ********All through my visit she was very calm and humble.She will listen to u patiently and will give u best suggestion.My platelet count was decreasing day by day and my parents were worried about this but I had full confidence in Dr. Uma treatment.I started recovering after 4 days of treatment.Thank you so much Dr. Uma.,I recommend the doctor,Bangalore
I must say she knows how to treat her patient. She will expalin you briefly about the problem and the medicines she is referring.,I recommend the doctor,Bangalore
Dr. Uma is very friendly and down to earth person.. she discusses the problem clearly and assures a positive response.. I definitely suggest her .. she is specialist for diabetes.. also a good pediatrician.. ,I recommend the doctor,Bangalore
She gave  a personalised feeling with dueelderly respect.  Reasons were well explained by her.God bless her.,I recommend the doctor,Bangalore
Dr. Uma is really friendly and explained us each and every points to be taken care of. Very systematic and her patience in hearing our issues were appreciable. She prescribed medicines that are only necessary. Glad that we chose Dr. Uma. ,I recommend the doctor,Bangalore
She was listening my issue very seriously and reacting on that very calmly.She was caring and given me solution of my health issue very strong.,I recommend the doctor,Bangalore
She is very good doctor  and handle kids very nicely. Her treatment suits my daughter always.  She is like family doctor for me.,I recommend the doctor,Bangalore
*** ** **** *** **** ** ********** ***** We are under her treatment since 2 yrs. Everytime we visit its awesome,I recommend the doctor,Bangalore
She is very patient in listening and kind. Only receommend tablets or injection if necessary.Very good doctor. but she is the only in Hospital..No front stafss or Nurse..Thats big big negative..Becoz we had to wait for half an hour post appointment time..No one know who needs to go inside in which order..no clue..,I recommend the doctor,Bangalore
Good experience and the doctor is friendly and i recommened this doctor and the treatment is very good,I recommend the doctor,Bangalore
Good health advisor.we went several times taken my kid for injections and for any fever or cold.Treatment is good.,I recommend the doctor,Bangalore
Doc is very friendly she treated my problem very well. She prescribed good medicine and suggested good healthy diet.She is a very good doctor.,I recommend the doctor,Bangalore
Doctor is really kind enough to deal patients and doesn't charge much. Very good experience.Thank you. ,I recommend the doctor,Bangalore
"I was unable to sleep for more than 3-4 hours a day. After doctor providing medicine,I can sleep properly. I'm feeling that I can sleep better. Thanks to doctor for understanding my situation.",I recommend the doctor,Bangalore
Lovely experience.the medicine works so fast.i vomit several times from morning.she gave me an injection.it reliefs me from vomiting,I recommend the doctor,Bangalore
Went to uma as my son was suffering from fever. She has treated him with patience *** **** ******* *********** He is fine now. ,I recommend the doctor,Bangalore
Good doctor. Listens to you patiently and calms your nerves. Adheres to the appointment timings which doctors hardly do. Definitely recommended.,I recommend the doctor,Bangalore
"My consulting experience was extremely sactisfying. Her behavior was genuine, frank and composed. She didn't prescribed any medication rather she adviced to pull down BP with exercise and proper healthy diet. *** ** *** **** ******* ********* ******* ** *** **** ***** ****** *** ****** *** ******* *** ****** ******** Wishing her a greater, bigger future ahead. ",I recommend the doctor,Bangalore
Nice doctor.. she speaks very politely.. Worth consulting.. treats very well.Awesome experience,I recommend the doctor,Bangalore
"I consulted her because of my viral fever. She is a very nice and an experienced doctor. The main speciality of her treatment  is to give as less as medicines possible. She is very polite, and will listen to your problems minutely. Thank you doctor for healing me up. It was my pleasure to get your consultation. Thanks a lot!!",I recommend the doctor,Bangalore
Very good Doc. Makes patients feel comfortable. Simply Doesn't recommend any tests until really required. Listens patiently and understands. Recommended!,I recommend the doctor,Bangalore
"Explained the problem really well, after visiting many doctors in the biggest hospitals, she took the probem seriously and understood the problem and explained the solution really well.",I recommend the doctor,Bangalore
"She listen to your problem and make you understand the problem, I cam here for loose motions, I was facing for 2 days  and the treatment helped me in recovering from the issue.",I recommend the doctor,Bangalore
The doctor is a very good listener and makes you feel comfortable. She listens to your problems patiently. Highly recommended.,I recommend the doctor,Bangalore
"Dr.Uma is really good and takes of her patient very well. She does prescribe genuine medicines related to the nature of sickness and her explanation is very appreciative,she takes time and patiently explain the root cause of the illness. I highly recommend her. She also advice us to call her in case of any clarifications. ",I recommend the doctor,Bangalore
"Dr. Uma is good, understanding and very down to earth. Since we visited for vaccination only, we can't comment on the treatment methods. ",I recommend the doctor,Bangalore
"Dr.Uma is really spending time with the patient , listening the problems carefully giving the problems medically and mentally , she is really superb",I recommend the doctor,Bangalore
She is very down to earth. Prescribed very good medicines. Not a moneye mineed doctor. * ***** **** *** ** *** **** ****** * **** **** **** ***,I recommend the doctor,Bangalore
Doctor Uma is so polite. She will hear you with so much patience. She is on time in her clinic. Behaviour wise I will give her 5 star. Because if doctor's behaviour is good then you can say your problem more freely.,I recommend the doctor,Bangalore
Good experience very smoothly handling pesentI have recommend to my friends and families. Very good doctor,I recommend the doctor,Bangalore
Very good Doctor. Will listen very patiently. Gives very good and simple medicine and will treat nicely.. ,I recommend the doctor,Bangalore
"*** ** *** **** ****** * **** ***** She becomes family doctor for my family for small thing also we use consult with her, mostly she will suggest us to go with home medicines.* Polite* Not Money Minded* Gentle and TechnicalYou will feel her like one of your family member.",I recommend the doctor,Bangalore
"She is ground to earth personality with zero arrogance, which is often missing in many doctors. She listens patiently, if you ask further, she explains the disease, prescribes minimum medication along with steps.",I recommend the doctor,Bangalore
Very good doctor. Best thing is she is not money minded. Listens to what we say and explains medicines she is prescribing. I have visited her for multiple times. ,I recommend the doctor,Bangalore
Doctor listens and answers each and every query of yours and patiently answers every one of them. I visited her for normal viral fever and she suggested it to be typhoid and the blood result showed the same. Overall a great experience. ,I recommend the doctor,Bangalore
Visited for viral fever. Doctor was very attentive and caring. She explained everything and even the medication she prescribed. I am fine now after treatment.Note. The fees is 200 ,I recommend the doctor,Bangalore
The doctor is really patient and listens to all your symptoms. Very thorough with her checkup. Very friendly and understanding as well.,I recommend the doctor,Bangalore
"Visited her clinic for my wife( fever & vomiting ). Dr Uma talks nicely but treatment is pathetic, she doesn't respond to calls after treatment. Forgot to mention she is one man army, no nurse, no front office staff. I had to see another doctor the next day as there was no sign of improvement. I don't recommend anyone.",I do not recommend the doctor,Bangalore
"Doctor is very good, listens all the problems carefully and gives only required medicines. Also did not prescribe unnecessary tests...",I recommend the doctor,Bangalore
"Doctor is friendly and polite,problem and its solutions explained briefly & prescribed treatment has been effective  i would refer to my friends & relatives to visit the clinic.",I recommend the doctor,Bangalore
Nice diagnostic.  Now my husband was feeling better.  I am recommend this Dr. Appointment started ontime ,I recommend the doctor,Bangalore
"We generally visit him for any regular check up like fever, fatigue, etc. I recommend him to all my friends family and colleagues as he is really good and give you right advice and treatment.",I recommend the doctor,Bangalore
"I had booked an appointment for a doctor at Manipal hospital using Practo and also visited the hospital. Unfortunately the hospital is big and busy that I could not even find the doctor's room after 20 min of searching. The information staff at the hospital also aren't particularly helpful as they are flooded with patients and they just point in random directions. If booking appointments for doctors in such large and busy hospitals, then please try to include information about the department and location (building, wing, floor) of the particular doctor for ease for patients.",I recommend the doctor,Bangalore
****** ** **** **** ********** However there is a tendency to scare than explain the issue.However my husband had a very good experience with the doctor. Wait time is too much ,I do not recommend the doctor,Bangalore
"** ** * ***** ****** *** ** ******* ** he knows the history, he could able to suggest **** ******** treatment. He sees things holistically, before suggesting the medicine. ",I recommend the doctor,Bangalore
"** *** **** **** ****** ** ****""! He listens to you so patiently and then inspects you with time and patience and then explains you in detail and the solution to it and the best part when you come out from his chamber you're a happy person and above all he gives very less *** **** ********* medicines ***** **** *** **** **** **** ** ******** ****** *** the best part I loved about him is he doesn't asks for much unnecessary tests and in-spite of his busy schedule he gives good time to all his patients. Above all Dr. Singhai could've attended other private hospitals but he sits only in Manipal Old Airport Road for the economic populations. I personally do not like Manipal Hospital because of the hygiene factor plus it's far from my house but I still prefer driving to this place because of Meeting the God - Dr. Pankaj Singhai.   ",I recommend the doctor,Bangalore
"It was great to see how easily Dr Pankaj found the root cause of the problem and treated my mother with confidence.My mother was having high re-occurring fever for around a month and was admitted to Sakra for 2 weeks, where they charged me a hefty amount and diagnosed wrong reason of her illness. The Medicines made her condition worse, that's where I decided to move to another hospital and Manipal was the first preferred choice. Dr Pankaj with initial examination scrapped the previous medicines and confirmed with super confidence that he'll take only 5 days to treat her.She was admitted and started with another treatment course and got discharged on the 5th day and it has been 3-4 months and she is perfectly fine now.I was amazed and speechless with gratitude. ** ** ****** * ***** ****** *** *** * ****** *********** ",I recommend the doctor,Bangalore
******* *** ********** ********* ***** ******* *** ***** ** *********** He was quick to diagnose my wife with Thyroiditis for which she was suffering from last 12 days . With numbers of test done with 2 other doctors the root cause remained still unknown. Dr Singhai diagnosed the issue in 2 mins and confirmed it with only one test. Considering the number of patients he has in waiting rooms he give sufficient time to every patient with patience and manage to do his best.I liked the doctor and would likely be going there regularly. He is my family doctor now ☺️,I recommend the doctor,Bangalore
"Very bad experience with hospital administration. Appointment got rescheduled by 2 hours but had to wait another 4 hours, making prior appointment a farce. To rub salt onto injury, while waiting anxiously in a crowded hall, message after message comes asking to explain the consultation experience ( taking for granted that was over!) This hospital administration does not know what is happening to itself. ",I do not recommend the doctor,Bangalore
"We visited the doctor on 17th March 2018 for a cyst formed on my father's back neck. Doctor Pankaj Singhai *** *** **** ****** ** *** ******** *** asked for ultra sonography. When we tried asking some general doubts, ** *** *** **** *** ********** *** repeatedly asked to get USG done as an answer of our every question. We waited for 4hrs in manipal for USG test and report. Seeing the report doctor Pankaj Singhai said one word, surgery. No answers after that for any of our questions. He asked us to come directly for surgery. He was extremely rude throughout and to add to our disappointment ** *** * **** ** *** **** ***** ********** *** *** ********** I would never go back to such a doctor who doesn't have time and empathy for his patients. ",I do not recommend the doctor,Bangalore
God of internal medicine.... Excellent ********* * friendly behavior.. I'll rate him 100/100  thank you.... ,I recommend the doctor,Bangalore
Very nice doctor and understands the symptoms post that prescribes medicines and provides services sufficient time for every patient and welcomes everyone with a smiling face. ,I recommend the doctor,Bangalore
"The doctor was very friendly and helpful.in totallity he was very good.In spite of his busy schudle,he gave me time knowing that I was from nagaland.i am really happy. ",I recommend the doctor,Bangalore
Good. G house by nice can have coffee Susan is did did since limit be any bucks off coy then if so just by by by the by by in by,I recommend the doctor,Bangalore
100% Satisfy with doctor. Doctor talk point to point. not tell extra testing . Understand the problem.  ,I recommend the doctor,Bangalore
In very young age i got very serious problem.may be due to some luck or something we got Dr .pankaj he is amazing person first of all i like the way he treats his patients with his beautiful smiley face **** *** ** ********* ** ****** ********* *** ** **** *** ** ** ******* ** **** **** ****** **** ** ** .Thank you pankaj for saving my life .,I recommend the doctor,Bangalore
"Positive experience. Doctor could have spent a few more minutes to understand. But to the point, and fine diagnosis. ",I recommend the doctor,Bangalore
"He is so polite.
He first treated my mother for pneumonia.I got so impressed by the way he treated my mother and he is our family doctor now.I refer him for all my family members.
** ** ****** *****",I recommend the doctor,Bangalore
********* ******* * Gives   times to patients to explain the issues and never asks for unnecessary test and do not prescribe long list of medicine .,I recommend the doctor,Bangalore
He is very good and too the point. His confidence will give you comfort.  He will explain the problem in simple terms so that anyone can understand. ** **** **** *** **** ****** ,I recommend the doctor,Bangalore
Doctor is very good. But some of his comments sarcastic. Otherwise good diagnosis and good treatment.,I recommend the doctor,Bangalore
The doctor doesn't even let the patient finish telling the symptoms and starts making assumptions and increasing the dose of medication without even letting the patient share what is happening. Had a very bad experience with this doctor.Never going back to him again.,I do not recommend the doctor,Bangalore
"** ** * **** ****** ..fully satisfied..he given enough time to examine the problem , explained very well ** **** **** ************* ",I recommend the doctor,Bangalore
** **** ** * **** **** ********* *** he listens to you properly and his diagnosis is always satisfactory. He is extremely knowledgable and he has been my personal doctor for 2-3 years now. ,I recommend the doctor,Bangalore
Dr was very thorough with examination and very clear *** ******* ***** ********** I recommend Dr Raja Selvarajan ,I recommend the doctor,Bangalore
Doc is experienced and very friendly. He explains the problem thoroughly and is available on call for follow up as well. ,I recommend the doctor,Bangalore
Good friendly doctor. *** **** ********* ** *** ******** Hope treatment is also good. I am yet to begin the treatment. The process  is slightly high-tech. You have to download an app and upload all the data on to the app. Doctor will monitor and guide you. Wait for the results.,I recommend the doctor,Bangalore
Explained everything about the issues that I was having.also keeps medication to the minimum requirement. a worthy friend in the form of a doctor.,I recommend the doctor,Bangalore
The doctor ****** **** ************* *** answered all my questions patiently. I would definitely recommend him,I recommend the doctor,Bangalore
